Alpha,Cl,Cd,Cm
-180.0,0.0,0.08982600436214835,0.0
-178.73214285714283,0.08595482888193665,0.09044045578034572,0.05071428571428669
-177.46428571428572,0.17190965776387157,0.09228261207003095,0.1014285714285711
-176.19642857142858,0.25786448664580647,0.09534875626333726,0.15214285714285666
-174.92857142857144,0.34381931552774314,0.09963272244567134,0.2028571428571422
-173.66071428571428,0.42977414440967976,0.10512589535873364,0.2535714285714289
-172.39285714285714,0.5157289732916146,0.1118172273825762,0.30428571428571444
-171.12500000000003,0.6016838021735496,0.11969326031251734,0.35499999999999887
-169.85714285714286,0.6876386310554863,0.1287381518881968,0.40191832589953314
-168.5892857142857,0.7735934599374229,0.13893370702273394,0.4189434682578903
-167.32142857142858,0.8595482888193576,0.1502594136707329,0.4359686106162467
-166.05357142857144,0.9455031177012927,0.16269248326477748,0.4529937529746035
-164.7857142857143,1.0314579465832292,0.17620789564109632,0.47001889533296026
-163.51785714285714,1.117412775465166,0.19077844836627308,0.4870440376913174
-162.25,1.2033676043471009,0.20637481036824543,0.5040691800496742
-157.08928571428572,1.0142533996106313,0.27975685036581,0.48701989741424634
-151.92857142857144,0.9000884685852726,0.36712834045793646,0.4032224581821069
-146.76785714285717,0.8201318872561936,0.46557717386287145,0.3582993549045037
-141.60714285714286,0.7551699446288259,0.571817152045307,0.33657198799756327
-136.44642857142856,0.695033046483603,0.6822951495042011,0.32828055114104715
-131.28571428571428,0.6340590238547361,0.7933070371266626,0.32606566556361744
-126.12500000000001,0.5691643886542216,0.901118604841549,0.32857434928181906
-120.96428571428572,0.49891838044686077,1.0020875616000244,0.33265030023175085
-115.80357142857142,0.4230472701372558,1.0927826550024404,0.3364766298138555
-110.64285714285714,0.3421378467263065,1.1700960453439977,0.3402455995922893
-105.48214285714286,0.2574379673705776,1.2313452864797894,0.3401627693564886
-100.32142857142857,0.17070612618643144,1.2743616016753174,0.3395318569052237
-95.16071428571429,0.0840867317901103,1.2975615856495837,0.3324788067376807
-90.0,5.572142936120457e-17,1.3,0.324999193917396
-84.83928571428571,-0.0840867317901103,1.2975615856495837,0.3136826400868728
-79.67857142857143,-0.17070612618643144,1.2743616016753174,0.30198665393803015
-74.51785714285714,-0.2574379673705776,1.2313452864797894,0.28457810344115575
-69.35714285714285,-0.3421378467263065,1.1700960453439977,0.26674664041097124
-64.19642857142857,-0.42304727013725596,1.0927826550024404,0.2459430420772461
-59.035714285714285,-0.49891838044686077,1.0020875616000244,0.2249946019291914
-53.875,-0.5691643886542213,0.9011186048415495,0.20341583166322108
-48.714285714285715,-0.6340590238547361,0.7933070371266628,0.1820560050032669
-43.55357142857143,-0.6950330464836032,0.682295149504201,0.16135605004477807
-38.39285714285714,-0.7551699446288259,0.571817152045307,0.14047778068634867
-33.232142857142854,-0.8201318872561935,0.4655771738628717,0.11920523837693958
-28.071428571428577,-0.9000884685852722,0.3671283404579367,0.09185292645235069
-22.91071428571429,-1.0142533996106313,0.27975685036581,0.054311371006025115
-17.75,-1.4610045101934364,0.27947341233960477,-0.0021
-17.5,-1.7039712188254164,0.3260561565488678,-0.006
-17.25,-1.6893010216110613,0.30010387959500656,-0.0098
-17.0,-1.6743748781361747,0.2751416631354762,-0.0135
-16.75,-1.6591160045225959,0.2513930711117818,-0.0169
-16.5,-1.6432172652576869,0.22929616113349777,-0.0201
-16.25,-1.626601876463288,0.20898516829786243,-0.023
-16.0,-1.6092186488872926,0.19049864662346355,-0.0256
-15.75,-1.5910931771557544,0.17376949083599708,-0.0277
-15.5,-1.5722766505207795,0.1587118214711222,-0.0294
-15.25,-1.5528714474865806,0.14507265627002872,-0.0306
-14.999999999999998,-1.5329543519313176,0.13269512483757376,-0.0314
-14.750000000000002,-1.5126277423592036,0.12138763224284198,-0.0318
-14.500000000000002,-1.4919684026483975,0.11097383606137709,-0.0317
-14.250000000000002,-1.4708739542946867,0.10154292201234558,-0.0313
-14.0,-1.4494979650543907,0.09285496297984776,-0.0305
-13.75,-1.4277124617972434,0.08500660541675131,-0.0295
-13.5,-1.405568633775351,0.0778940912773319,-0.0282
-13.25,-1.3842182391611082,0.0699463764596767,-0.0265
-13.0,-1.362048816513163,0.0633085215338001,-0.0247
-12.75,-1.3394442852223127,0.05743731372659967,-0.0229
-12.5,-1.3165582130448776,0.052076757670522764,-0.0209
-12.25,-1.293262626850591,0.04731302610245509,-0.0191
-12.000000000000002,-1.2692759857528675,0.04335746693241368,-0.0176
-11.75,-1.2449822091425056,0.03982484588484645,-0.0163
-11.5,-1.2205860540279307,0.036464445113099805,-0.015
-11.25,-1.1961643042873027,0.033178689822958234,-0.0137
-11.0,-1.171281851277717,0.03051334763951044,-0.0126
-10.75,-1.1461690466336525,0.02816646580122473,-0.0116
-10.5,-1.1209282688593218,0.02601522839894646,-0.0106
-10.25,-1.0957642749631507,0.023821051615849978,-0.0096
-10.0,-1.0706002810669797,0.02165451548444465,-0.0085
-9.75,-1.0452059355363297,0.019814966256715902,-0.0075
-9.5,-1.0197092115014672,0.018153594459149002,-0.0066
-9.25,-0.9942380820926574,0.01650868633571657,-0.0055
-9.0,-0.968894925814114,0.014766692617611602,-0.0045
-8.75,-0.9434237964053043,0.013250367630292453,-0.0034
-8.5,-0.9179270723704417,0.011832657027230159,-0.0023
-8.25,-0.8926606999700577,0.010201718058887622,-0.001
-8.0,-0.8672151651873012,0.008822303596341381,0.0001
-7.75,-0.841769630404545,0.007511379036005636,0.0013
-7.499999999999999,-0.8164264741260014,0.006122716929650368,0.0026
-7.250000000000001,-0.7909809393432452,0.004929773614889887,0.0038
-7.0,-0.7656377830647015,0.0036516051028966934,0.005
-6.75,-0.7395011933785084,0.0030218935553346805,0.0056
-6.5,-0.711112276599633,0.003884490215001587,0.0044
-6.25,-0.6825697920644382,0.004849912573625765,0.003
-6.000000000000001,-0.6542576591637224,0.005627695098651527,0.0018
-5.75,-0.6259199316369531,0.006383407514685999,0.0006
-5.5,-0.5973006632235988,0.0072689586267158934,-0.0008
-5.25,-0.5688093679405104,0.00802818848379868,-0.0021
-5.0,-0.5410091275608587,0.008323074688694499,-0.0028
-4.75,-0.5126458054080365,0.008939075898894581,-0.004
-4.5,-0.4850503220368104,0.009097828931037395,-0.0044
-4.25,-0.4570709192747863,0.009426267787219476,-0.0052
-4.0,-0.42968019291198595,0.009437740284410575,-0.0055
-3.7499999999999996,-0.40203352028865347,0.00957471476339309,-0.0059
-3.5,-0.37494992943849176,0.009412620195527143,-0.0058
-3.25,-0.34794312246648956,0.009225263084126932,-0.0057
-3.0000000000000004,-0.32101309937264705,0.009025667897092051,-0.0054
-2.75,-0.29423664403512373,0.008759124307665398,-0.005
