Alpha,Cl,Cd,Cm
-180.0,0.0,0.009935307335434889,0.0
-178.73214285714283,0.06621238341590872,0.01056931722930369,0.05071428571428669
-177.46428571428572,0.13242476683181612,0.012470140567539156,0.1014285714285711
-176.19642857142858,0.1986371502477235,0.01563403125703656,0.15214285714285666
-174.92857142857144,0.26484953366363223,0.020054775522523566,0.2028571428571422
-173.66071428571428,0.3310619170795409,0.02572369113356161,0.2535714285714289
-172.39285714285714,0.3972743004954483,0.03262964441939593,0.30428571428571444
-171.12500000000003,0.46348668391135567,0.04075907208800433,0.35499999999999887
-169.85714285714286,0.5296990673272645,0.05009600780660737,0.4002062865894712
-168.5892857142857,0.5959114507431732,0.06062211349157741,0.40203708007102823
-167.32142857142858,0.6621238341590805,0.0723167152464609,0.4038678735525851
-166.05357142857144,0.7283362175749879,0.0851568438777222,0.40569866703414204
-164.7857142857143,0.7945486009908966,0.09911727990885053,0.407529460515699
-163.51785714285714,0.8607609844068055,0.11417060300466197,0.40936025399725595
-162.25,0.9269733678227128,0.13028724570899194,0.4111910474788129
-157.08928571428572,0.8117902875043181,0.20616852047024437,0.3843949263808717
-151.92857142857144,0.7463906094537105,0.2966358541591189,0.33112471790890496
-146.76785714285717,0.7015327618451904,0.398752040801664,0.3055622550544835
-141.60714285714286,0.6632833309505808,0.5092011492223744,0.29653259069008914
-136.44642857142856,0.6242198963952107,0.6243959288859365,0.2969618591615676
-131.28571428571428,0.580237456766648,0.7405940099158639,0.3016690369558025
-126.12500000000001,0.5291908559810551,0.8540191357806411,0.30919315968853917
-120.96428571428572,0.4702403426302643,0.9609835041610738,0.31765193696308286
-115.80357142857142,0.40349625907130376,1.0580072555545044,0.32479182852090716
-110.64285714285714,0.3297999701874472,1.1419312413969134,0.3316286569778682
-105.48214285714286,0.25056928413661095,1.2100194209085764,0.3339690373386585
-100.32142857142857,0.16767490772769858,1.2600475714568538,0.33566960690315584
-95.16071428571429,0.08333204929860778,1.2903754401204577,0.3305608302987184
-90.0,5.572142936120457e-17,1.3,0.3249997723989274
-84.83928571428571,-0.08333204929860778,1.2903754401204577,0.3119477026343571
-79.67857142857143,-0.16767490772769858,1.2600475714568538,0.29852053929104144
-74.51785714285714,-0.25056928413661095,1.2100194209085764,0.27944613373439187
-69.35714285714285,-0.3297999701874472,1.1419312413969134,0.2599468329001053
-64.19642857142857,-0.40349625907130393,1.0580072555545044,0.23746146247575883
-59.035714285714285,-0.4702403426302643,0.9609835041610738,0.21482522092459244
-53.875,-0.5291908559810548,0.8540191357806416,0.19153241058078385
-48.714285714285715,-0.580237456766648,0.7405940099158641,0.16849001059302426
-43.55357142857143,-0.6242198963952108,0.6243959288859364,0.14620231959502353
-38.39285714285714,-0.6632833309505808,0.5092011492223744,0.12403530319949123
-33.232142857142854,-0.7015327618451903,0.39875204080166426,0.10213511175830595
-28.071428571428577,-0.7463906094537105,0.29663585415911914,0.07627265529283507
-22.91071428571429,-0.8117902875043181,0.20616852047024437,0.0437697361477743
-17.75,-1.1247550190814617,0.15078438842259267,-0.0021
-17.5,-1.333395922732988,0.15840183440467612,-0.006
-17.25,-1.3442551751257654,0.14580963862610238,-0.0098
-17.0,-1.3543229532954246,0.1336964418019846,-0.0135
-16.75,-1.3633618149750295,0.12222566325662329,-0.0169
-16.5,-1.370421991096838,0.11157045346813924,-0.0201
-16.25,-1.3752660393939145,0.10181881472970569,-0.023
-16.0,-1.3777356650216352,0.09298874948602982,-0.0256
-15.75,-1.3779100154023118,0.0850614510586219,-0.0277
-15.5,-1.3759473853805686,0.0780200486198414,-0.0294
-15.25,-1.3721643646456523,0.07172166792193524,-0.0306
-14.999999999999998,-1.366798395464499,0.06609355529584869,-0.0314
-14.750000000000002,-1.360166067526356,0.06104602786465291,-0.0318
-14.500000000000002,-1.352504823098159,0.05647928248981253,-0.0317
-14.250000000000002,-1.34349807249066,0.0524111165978407,-0.0313
-14.0,-1.3336207002377307,0.04873830191059976,-0.0305
-13.75,-1.3224769692278118,0.045466331899290224,-0.0295
-13.5,-1.3102251743055264,0.04254453540406157,-0.0282
-13.25,-1.3004269494749092,0.03929510194864304,-0.0265
-13.0,-1.2880960071303125,0.036621490692566434,-0.0247
-12.75,-1.274419558606414,0.03429229101012789,-0.0229
-12.5,-1.2598724884370849,0.032178179083974155,-0.0209
-12.25,-1.2440590595107663,0.030281713060011442,-0.0191
-12.000000000000002,-1.2261086501820275,0.028626137346649757,-0.0176
-11.75,-1.2072084717855462,0.02711788246947326,-0.0163
-11.5,-1.1879917036998178,0.025657893416262543,-0.015
-11.25,-1.1686957881917772,0.024204429359208836,-0.0137
