Alpha,Cl,Cd,Cm
-180.0,0.0,0.001,0.0
-177.85714285714286,-0.37643532577053296,0.001,0.0
-175.71428571428572,-0.7528706515410614,0.001,0.0
-173.57142857142858,-1.1293059773115943,0.001,0.0
-171.42857142857142,-1.5057413030821274,0.001,0.0
-169.2857142857143,-1.882176628852656,0.001,0.0
-167.14285714285714,-2.2586119546231886,0.001,0.0
-165.00000000000003,-2.6350472803937173,0.001,0.0
-162.85714285714286,-3.0114826061642503,0.001,0.0
-160.71428571428572,-3.3879179319347834,0.001,0.0
-158.57142857142858,-3.764353257705312,0.001,0.0
-156.42857142857144,-4.140788583475845,0.001,0.0
-154.28571428571428,-4.517223909246377,0.001,0.0
-152.14285714285717,-4.893659235016906,0.001,0.0
-150.0,-5.270094560787439,0.001,0.0
-145.71428571428572,-4.152582420485593,0.001,0.0
-141.42857142857142,-3.2584330553477296,0.001,0.0
-137.14285714285714,-2.529542650410523,0.001,0.0
-132.85714285714286,-1.9293936213580327,0.001,0.0
-128.57142857142858,-1.4339425197748144,0.001,0.0
-124.28571428571429,-1.0267171617032202,0.001,0.0
-120.00000000000001,-0.6960219457198853,0.001,0.0
-115.71428571428571,-0.43327100501271393,0.001,0.0
-111.42857142857143,-0.23195914385958988,0.001,0.0
-107.14285714285715,-0.08701128082086469,0.001,0.0
-102.85714285714286,0.0056334130684891175,0.3182219475960516,0.0
-98.57142857142858,0.04928558701186369,0.6566518667397253,0.0
-94.28571428571429,0.046667192834347546,0.9846433075923319,0.0
-90.0,5.572142936120456e-17,1.2999999999999998,0.0
-85.71428571428571,-0.046667192834347546,0.9846433075923319,0.0
-81.42857142857143,-0.04928558701186378,0.6566518667397263,0.0
-77.14285714285714,-0.0056334130684891175,0.3182219475960516,0.0
-72.85714285714285,0.08701128082086469,0.001,0.0
-68.57142857142857,0.23195914385958988,0.001,0.0
-64.28571428571429,0.43327100501271393,0.001,0.0
-59.99999999999999,0.6960219457198844,0.001,0.0
-55.714285714285715,1.0267171617032196,0.001,0.0
-51.42857142857143,1.4339425197748144,0.001,0.0
-47.14285714285714,1.9293936213580318,0.001,0.0
-42.857142857142854,2.529542650410522,0.001,0.0
-38.57142857142857,3.2584330553477296,0.001,0.0
-34.285714285714285,4.152582420485589,0.001,0.0
-29.999999999999996,5.681304150080628,0.001,0.0
-29.393939393939394,5.870595184485277,0.001,0.0
-28.78787878787879,5.673491379337758,0.001,0.0
-28.181818181818183,5.517103557920445,0.001,0.0
-27.575757575757574,5.3611387482007915,0.001,0.0
-26.96969696969697,5.205596950178803,0.001,0.0
