# Re = 0.5e6, max(Cl/Cd) = 156.9929111532504 at alpha = 2.72727272727273 deg
-9.000000000000000000e+01 -7.678535430653904863e-17 1.254000000000000004e+00
-8.818181818181817277e+01 -3.982737705193596656e-02 1.253199169199234353e+00
-8.636363636363635976e+01 -7.961590840414382864e-02 1.249878249033043343e+00
-8.454545454545454675e+01 -1.192064808001192661e-01 1.244052003947369700e+00
-8.272727272727273373e+01 -1.584415202468268669e-01 1.235745283642154080e+00
-8.090909090909090651e+01 -1.971656388027751838e-01 1.224992921611288699e+00
-7.909090909090909349e+01 -2.352262778482748784e-01 1.211839593485589006e+00
-7.727272727272726627e+01 -2.724743456305799838e-01 1.196339635750590658e+00
-7.545454545454545325e+01 -3.087648470322137406e-01 1.178556825570533650e+00
-7.363636363636362603e+01 -3.439575036937540520e-01 1.158564122606491997e+00
-7.181818181818182723e+01 -3.779173628382138661e-01 1.136443373869639784e+00
-7.000000000000000000e+01 -4.105153933998699767e-01 1.112284982799483624e+00
-6.818181818181818699e+01 -4.416290683646817428e-01 1.086187543900921870e+00
-6.636363636363635976e+01 -4.711429325936438151e-01 1.058257444412672443e+00
-6.454545454545453254e+01 -4.989491558391513926e-01 1.028608434612345190e+00
-6.272727272727272663e+01 -5.249480711971270530e-01 9.973611684897051299e-01
-6.090909090909091361e+01 -5.490486998898672644e-01 9.646427166389801577e-01
-5.909090909090908639e+01 -5.711692640807425336e-01 9.305860533329092243e-01
-5.727272727272727337e+01 -5.912376904284378787e-01 8.953295198451676207e-01
-5.545454545454545325e+01 -6.091921083586467889e-01 8.590162661834250812e-01
-5.363636363636363313e+01 -6.249813486519882888e-01 8.217936734822085532e-01
-5.181818181818182012e+01 -6.385654500391221289e-01 7.838127593825873207e-01
-5.000000000000000000e+01 -6.499161842266905076e-01 7.452275687941836146e-01
-4.818181818181817988e+01 -6.590176133903687949e-01 7.061945524938461061e-01
-4.636363636363635976e+01 -6.658666990069997960e-01 6.668719360642777483e-01
-4.454545454545453964e+01 -6.704739874538583333e-01 6.274190817147704546e-01
-4.272727272727271952e+01 -6.728644068099246534e-01 5.879958455548424112e-01
-4.090909090909090651e+01 -6.730782218393601690e-01 5.487619329098459842e-01
-3.909090909090908639e+01 -6.711722118657824643e-01 5.098762542754705640e-01
-3.727272727272726627e+01 -6.672211616847435467e-01 4.714962845054594953e-01
-3.545454545454545325e+01 -6.613197927644635099e-01 4.337774278138071815e-01
-3.363636363636363313e+01 -6.535853170558101333e-01 3.968723911492587075e-01
-3.181818181818181657e+01 -6.441608790394092177e-01 3.609305684661834324e-01
-2.999999999999999289e+01 -6.332202802938668995e-01 3.260974383719857927e-01
-2.818181818181817988e+01 -6.209745841329183946e-01 2.925139775773155093e-01
-2.636363636363635621e+01 -6.076815271860939172e-01 2.603160925116678737e-01
-2.454545454545454319e+01 -5.936592135693691263e-01 2.296340713937893296e-01
-2.272727272727271952e+01 -5.793065110682564800e-01 2.005920589638866824e-01
-2.090909090909091006e+01 -5.651342510215071613e-01 1.733075559933630883e-01
-1.909090909090908283e+01 -5.518144576773186261e-01 1.478909455879793000e-01
-1.727272727272727337e+01 -5.402609164047629253e-01 1.244450481924227470e-01
-1.545454545454544792e+01 -5.317669150849404502e-01 1.030647070886430983e-01
-1.363636363636363669e+01 -5.282535477294600934e-01 8.383640605749594077e-02
-1.181818181818181301e+01 -5.327476766299690247e-01 6.683792074367084224e-02
-1.000000000000000178e+01 -5.503818773876636428e-01 5.213800512813823729e-02
-8.181818181818176328e+00 -5.696874453681775030e-01 3.692153320237652470e-02
-6.363636363636365978e+00 -4.098973912883522308e-01 1.903678924516648274e-02
-4.545454545454541417e+00 -1.784974952140619964e-01 8.922307777824906028e-03
-2.727272727272717301e+00 3.329757655028829644e-02 4.411773609769101441e-03
-9.090909090909057300e-01 2.316749094870636794e-01 3.061712323869711719e-03
9.090909090909184975e-01 4.297967924555975427e-01 3.178810803622309118e-03
2.727272727272730179e+00 6.283560115995144857e-01 4.002448307912053957e-03
4.545454545454553852e+00 8.199693961855125668e-01 5.380554328943494904e-03
6.363636363636365978e+00 9.992910373247583244e-01 7.621499387263899229e-03
8.181818181818190538e+00 1.159611213722236078e+00 1.150439215766338452e-02
1.000000000000000178e+01 1.284498742033848950e+00 1.856589421407620066e-02
1.181818181818182545e+01 1.348697394181524789e+00 3.111155344563683312e-02
1.363636363636363669e+01 1.285280199061671125e+00 4.892248903662367587e-02
1.545454545454546214e+01 1.190595602698772293e+00 6.843710412315072433e-02
1.727272727272727337e+01 1.120614976059381540e+00 9.013862634323997758e-02
1.909090909090909705e+01 1.067804790411715388e+00 1.139402485138777121e-01
2.090909090909091006e+01 1.027213714648639087e+00 1.397467691684186331e-01
2.272727272727273373e+01 9.954425344547568333e-01 1.674549752556064031e-01
2.454545454545454319e+01 9.700720886334356363e-01 1.969540570365566901e-01
2.636363636363636687e+01 9.493280967657539149e-01 2.281260535097748843e-01
2.818181818181817988e+01 9.318758809272541521e-01 2.608463265714038304e-01
3.000000000000001776e+01 9.166898608718538899e-01 2.949840620022672333e-01
3.181818181818182723e+01 9.029678994066722142e-01 3.304027952652936473e-01
3.363636363636364024e+01 8.900735139108458815e-01 3.669609599970823921e-01
3.545454545454545325e+01 8.774959372960768889e-01 4.045124569860314434e-01
3.727272727272728758e+01 8.648219202836333608e-01 4.429072413470228065e-01
3.909090909090910060e+01 8.517154393665666845e-01 4.819919255294438099e-01
4.090909090909091361e+01 8.379028383867079821e-01 5.216103957316228223e-01
