Alpha,Cl,Cd,Cm
-20.0,-1.297050708686896,0.11408961525944666,0.004646683703601367
-19.0,-1.4581917955653758,0.07249761676522998,-0.01672003030100141
-18.0,-1.5306806734185872,0.04820463237698268,-0.02830126065868086
-17.0,-1.540381099715834,0.035192791925602096,-0.03197214680458415
-16.0,-1.518763131874705,0.02799378838269724,-0.030057257952829312
-15.0,-1.4790047488234124,0.023711209287397905,-0.024910663590071554
-14.0,-1.4415871350755636,0.019975566183338372,-0.01619975337297779
-13.0,-1.36587858362437,0.017768053114863985,-0.011851226188626367
-12.0,-1.2819015341981341,0.015783151803353344,-0.008298158063286813
-11.0,-1.1917761523210069,0.014159523053508706,-0.005320459603548763
-10.0,-1.1022563714539708,0.01267195188234781,-0.0017396801972813542
-9.0,-1.0152233979786551,0.011491912369578033,0.002775416923348573
-8.0,-0.92080622184066,0.010430775974467904,0.005833617040637516
-7.0,-0.7892646844740054,0.009360422727571809,0.0009966301981874427
-6.0,-0.6592453051643303,0.008340496396966775,-0.003364279585717867
-5.0,-0.540103219707267,0.007388089823298265,-0.005070724442208832
-4.0,-0.4349184348050533,0.006529786475928121,-0.003458969028302704
-3.0,-0.3284087141169552,0.005877308139191463,-0.0020863007500101587
-2.0,-0.22014543806523493,0.005445789733438115,-0.0011138984127497613
-1.0,-0.11036897704400372,0.005236769624636941,-0.00047951055313046206
0.0,3.010807748948796e-14,0.005166455271535602,-6.203687834536217e-15
1.0,0.11037075584967516,0.005236759093202772,0.00047909975611124005
2.0,0.22015259600792828,0.005445783899224615,0.0011122424958442954
3.0,0.3284249565382563,0.005877315122274785,0.0020825573602402253
4.0,0.4349453535079135,0.006529828264174535,0.003452767689835194
5.0,0.5401346491526849,0.0073881251584587354,0.0050635063824276075
6.0,0.6592791234284924,0.008340239611197564,0.0033566410886529717
7.0,0.7893320902192915,0.00936008624869964,-0.0010120916847938708
8.0,0.920886394748847,0.010430281795913272,-0.005851943293268647
9.0,1.0150987418069102,0.011490483330012154,-0.002748606551747052
10.0,1.1022208948092007,0.012670911742190503,0.0017478958215607534
11.0,1.1918926434344002,0.01415915300840288,0.005296018582028099
12.0,1.2821280292182489,0.01578398636174612,0.008250205312771179
13.0,1.3662571126218999,0.017768434072125326,0.011773572566168953
14.0,1.4421859266028723,0.019976896223440208,0.0160799474356464
15.0,1.480200109503445,0.023702601471696883,0.024703361918496765
16.0,1.5204035320362863,0.027966475807120448,0.02980965114206692
17.0,1.5426697543999177,0.035122363113941506,0.031688919437393215
18.0,1.53371564915982,0.04807256322752676,0.027986271355426667
19.0,1.4620967671175007,0.0722882669748778,0.01636888910785476
20.0,1.3008777072870963,0.11393520380976292,-0.005050594577337032
